title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Need You Now,Lady Antebellum,2010,278,Anger,2,8,7,5,2,7,2,5,3,1
"Hey, Soul Sister",Train,2010,217,Anticipation,12,6,3,6,4,2,5,1,3,6
California Gurls,Katy Perry Featuring Snoop Dogg,2010,235,Joy,33,13,8,13,5,5,19,2,13,9
OMG,Usher Featuring will.i.am,2010,249,Joy,41,10,6,4,3,0,34,4,10,7
Love The Way You Lie,Eminem Featuring Rihanna,2010,263,Sadness,32,51,33,13,25,26,22,37,11,9
Bad Romance,Lady Gaga,2010,294,Joy,83,53,49,44,41,78,82,70,47,38
Dynamite,Taio Cruz,2010,203,Trust,11,2,1,4,0,0,7,0,0,9
Break Your Heart,Taio Cruz Featuring Ludacris,2010,187,Surprise,5,12,6,5,5,8,5,10,65,0
I Like It,Enrique Iglesias Featuring Pitbull,2010,217,Joy,30,8,6,13,5,6,27,1,11,6
BedRock,Young Money Featuring Lloyd,2010,289,Joy,64,19,13,19,9,21,33,17,15,17
In My Head,Jason Derulo,2010,198,Joy,27,9,5,1,5,5,11,4,9,10
Rude Boy,Rihanna,2010,223,Joy,64,38,2,2,35,3,61,2,1,1
Telephone,Lady Gaga Featuring Beyonce,2010,221,Joy,15,6,1,2,3,1,12,5,5,11
Teenage Dream,Katy Perry,2010,228,Joy,15,5,0,4,1,2,12,4,6,8
Just The Way You Are,Bruno Mars,2010,242,Surprise,11,2,1,5,1,5,11,1,14,6
Cooler Than Me,Mike Posner,2010,214,Trust,9,14,1,3,1,4,6,4,6,8
Imma Be,The Black Eyed Peas,2010,258,Trust,35,11,6,18,6,2,20,4,15,27
Empire State Of Mind,Jay-Z + Alicia Keys,2010,282,Trust,29,20,8,18,7,14,19,7,11,21
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010,220,Joy,41,12,0,3,1,2,37,12,2,14
Billionaire,Travie McCoy Featuring Bruno Mars,2010,211,Trust,22,16,8,11,7,6,10,10,5,13
Not Afraid,Eminem,2010,248,Anger,22,36,18,9,13,18,14,13,6,18
Replay,Iyaz,2010,183,Trust,37,4,3,6,1,6,8,4,2,10
Sexy Chick,David Guetta Featuring Akon,2010,195,Anger,6,26,24,2,24,4,0,6,0,4
Breakeven,The Script,2010,261,Sadness,18,20,5,11,3,7,14,19,14,10
Your Love Is My Drug,Ke$ha,2010,188,Joy,58,9,1,4,3,2,56,5,4,3
I Gotta Feeling,The Black Eyed Peas,2010,292,Anticipation,52,10,11,47,1,7,40,1,35,45
Fireflies,Owl City,2010,229,Sadness,6,12,2,0,3,3,4,8,5,7
Say Aah,Trey Songz Featuring Fabolous,2010,207,Joy,13,15,4,6,2,0,11,2,11,7
Find Your Love,Drake,2010,209,Joy,8,6,0,4,0,1,6,2,3,2
Alejandro,Lady Gaga,2010,275,Joy,18,11,5,9,5,4,13,3,11,2
