title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Sorry,Justin Bieber,2016,201,Joy,15,6,1,2,3,1,12,5,5,11
One Dance,Drake Featuring WizKid & Kyla,2016,167,Anticipation,24,2,2,22,1,5,16,1,4,14
Work,Rihanna Featuring Drake,2016,220,Disgust,34,49,17,12,25,17,8,20,7,7
Stressed Out,twenty one pilots,2016,226,Anticipation,35,21,15,36,3,3,29,13,18,27
Panda,Desiigner,2016,248,Trust,32,48,18,21,19,23,15,19,9,27
Hello,Adele,2016,296,Anticipation,5,2,0,7,0,0,3,1,4,4
Don't Let Me Down,The Chainsmokers Featuring Daya,2016,208,Surprise,7,7,6,6,5,6,7,6,10,7
Can't Stop The Feeling!,Justin Timberlake,2016,286,Joy,62,6,2,10,0,2,59,4,14,55
Closer,The Chainsmokers Featuring Halsey,2016,244,Sadness,20,10,5,5,1,5,8,22,8,8
Cheap Thrills,Sia Featuring Sean Paul,2016,212,Joy,86,24,24,42,8,24,65,8,27,22
7 Years,Lukas Graham,2016,238,Anticipation,19,14,6,15,7,5,15,9,6,11
Needed Me,Rihanna,2016,192,Anger,15,22,18,6,12,8,11,7,5,10
My House,Flo Rida,2016,192,Anticipation,24,10,11,19,2,8,14,1,9,14
I Took A Pill In Ibiza,Mike Posner,2016,198,Trust,16,4,1,7,1,1,11,5,3,16
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016,214,Anticipation,7,5,1,4,0,4,4,2,1,3
This Is What You Came For,Calvin Harris Featuring Rihanna,2016,222,Anger,5,6,10,9,0,9,5,1,6,0
Cake By The Ocean,DNCE,2016,220,Anticipation,42,23,14,19,12,12,19,14,12,12
Ride,twenty one pilots,2016,215,Anticipation,9,6,2,17,2,4,6,4,2,5
Heathens,twenty one pilots,2016,218,Fear,8,25,8,14,8,22,8,5,7,10
Pillowtalk,Zayn,2016,202,Fear,9,33,14,1,8,30,6,6,3,1
Stitches,Shawn Mendes,2016,207,Anticipation,21,18,2,15,0,5,12,14,13,5
Hotline Bling,Drake,2016,296,Sadness,11,19,1,2,2,1,11,15,8,4
Cold Water,Major Lazer Featuring Justin Bieber & MO,2016,186,Anticipation,14,7,2,9,1,3,8,2,5,6
Send My Love (To Your New Lover),Adele,2016,224,Anticipation,32,9,9,31,8,16,27,9,8,16
Roses,The Chainsmokers Featuring Rozes,2016,226,Joy,5,4,1,3,2,1,4,2,1,3
Treat You Better,Shawn Mendes,2016,188,Anticipation,16,17,10,14,13,6,10,10,6,14
Too Good,Drake Featuring Rihanna,2016,256,Anticipation,42,6,5,34,4,5,34,6,22,30
Low Life,Future Featuring The Weeknd,2016,314,Anger,17,36,23,7,17,19,11,15,6,10
What Do You Mean?,Justin Bieber,2016,206,Anticipation,7,8,3,7,0,0,6,4,4,1
The Hills,The Weeknd,2016,243,Trust,22,4,3,7,3,5,9,4,0,17
