title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Call Me Maybe,Carly Rae Jepsen,2012,193,Sadness,8,39,30,3,25,28,6,31,0,3
We Are Young,fun. Featuring Janelle Monae,2012,250,Anticipation,19,7,2,18,1,7,17,4,14,11
Payphone,Maroon 5 Featuring Wiz Khalifa,2012,232,Anticipation,28,22,7,23,12,7,16,7,7,11
Lights,Ellie Goulding,2012,211,Trust,10,9,7,4,1,3,2,2,2,10
Glad You Came,The Wanted,2012,198,Anticipation,27,8,2,25,0,0,21,4,6,12
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,222,Sadness,4,24,7,4,8,21,4,23,8,2
We Found Love,Rihanna Featuring Calvin Harris,2012,216,Joy,21,20,4,1,0,18,20,18,0,1
Starships,Nicki Minaj,2012,211,Anticipation,17,4,5,14,3,2,12,3,6,7
What Makes You Beautiful,One Direction,2012,200,Joy,20,6,1,0,0,1,19,1,4,5
Wild Ones,Flo Rida Featuring Sia,2012,234,Surprise,10,28,6,5,4,9,5,9,23,11
Set Fire To The Rain,Adele,2012,242,Fear,2,14,3,9,3,13,2,11,5,1
Sexy And I Know It,LMFAO,2012,200,Trust,6,6,2,7,1,5,6,0,0,12
Some Nights,fun.,2012,277,Fear,13,18,6,8,8,12,9,10,6,10
Wide Awake,Katy Perry,2012,221,Sadness,7,17,4,5,1,9,4,17,6,4
Good Feeling,Flo Rida,2012,248,Trust,40,10,4,27,1,6,28,2,26,29
Whistle,Flo Rida,2012,225,Joy,67,9,7,9,6,5,55,8,3,19
One More Night,Maroon 5,2012,220,Joy,16,19,8,10,5,10,16,11,6,4
Drive By,Train,2012,195,Sadness,16,14,7,1,4,4,7,11,4,7
The Motto,Drake Featuring Lil Wayne,2012,182,Anger,31,19,22,20,9,11,18,7,15,22
Where Have You Been,Rihanna,2012,269,Anticipation,2,0,0,3,0,2,2,0,0,1
Everybody Talks,Neon Trees,2012,177,Anticipation,36,11,6,13,5,3,10,7,4,2
Take Care,Drake Featuring Rihanna,2012,278,Sadness,16,21,14,10,10,15,13,19,6,10
Titanium,David Guetta Featuring Sia,2012,247,Fear,7,26,17,0,3,24,1,12,4,2
I Won't Give Up,Jason Mraz,2012,241,Joy,26,4,0,9,0,4,15,3,3,9
It Will Rain,Bruno Mars,2012,267,Fear,15,11,7,3,6,10,10,9,10,4
Boyfriend,Justin Bieber,2012,172,Trust,12,5,4,3,2,5,5,3,5,6
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012,263,Anticipation,27,12,11,24,10,11,15,9,18,18
Too Close,Alex Clare,2012,256,Joy,8,5,5,1,3,4,7,4,1,2
Part Of Me,Katy Perry,2012,217,Surprise,5,13,9,3,2,7,5,7,10,3
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,207,Anticipation,23,16,5,18,1,7,18,4,11,8
We Are Never Ever Getting Back Together,Taylor Swift,2012,194,Joy,26,5,3,4,2,5,12,2,3,11
As Long As You Love Me,Justin Bieber Featuring Big Sean,2012,230,Anticipation,35,12,7,26,3,6,25,6,5,5
Turn Me On,David Guetta Featuring Nicki Minaj,2012,199,Joy,38,10,1,18,3,7,33,7,12,29
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012,202,Trust,13,4,3,8,2,3,9,1,5,12
Blow Me (One Last Kiss),P!nk,2012,255,Joy,31,33,19,21,21,10,26,10,21,7
Good Time,Owl City & Carly Rae Jepsen,2012,206,Anticipation,34,1,1,56,0,0,30,0,30,30
Give Your Heart A Break,Demi Lovato,2012,206,Surprise,9,22,5,8,5,5,7,11,28,1
Ni**as in Paris,Jay Z Kanye West,2012,220,Anger,19,37,27,10,23,16,4,9,5,9
The One That Got Away,Katy Perry,2012,228,Joy,10,4,6,9,1,4,10,7,3,10
Feel So Close,Calvin Harris,2012,247,Joy,5,5,2,3,0,2,4,0,2,4
Someone Like You,Adele,2012,286,Sadness,10,22,11,5,2,16,10,19,2,3
Scream,Usher,2012,235,Joy,75,20,16,9,12,18,71,3,14,6
Rack City,Tyga,2012,208,Sadness,14,140,64,8,62,61,10,137,5,8
Domino,Jessie J,2012,232,Joy,39,11,7,2,10,3,33,2,2,10
Gangnam Style,PSY,2012,208,Joy,4,0,0,0,0,0,4,0,0,0
International Love,Pitbull Featuring Chris Brown,2012,228,Joy,23,14,5,3,4,4,20,6,11,5
Home,Phillip Phillips,2012,210,Anger,2,6,6,2,4,6,2,4,2,4
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012,223,Surprise,16,11,3,8,3,0,9,10,11,10
Wanted,Hunter Hayes,2012,229,Joy,12,4,0,6,0,0,9,1,4,4
Drunk On You,Luke Bryan,2012,214,Anticipation,21,8,5,14,0,7,10,7,14,9
No Lie,2 Chainz Featuring Drake,2012,237,Anger,37,59,49,6,47,8,7,45,9,27
