title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Want U Back,Cher Lloyd,2012,213,Disgust,5,9,2,4,8,2,4,2,7,0
Don't Wake Me Up,Chris Brown,2012,223,Sadness,6,12,0,2,0,0,4,13,1,0
Springsteen,Eric Church,2012,264,Anticipation,11,3,3,10,1,5,7,3,1,6
Brokenhearted,Karmin,2012,228,Sadness,15,13,4,7,5,4,10,11,7,5
Not Over You,Gavin DeGraw,2012,219,Trust,13,10,10,10,10,5,7,5,8,13
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012,211,Trust,28,14,7,14,3,5,20,16,7,21
Back In Time,Pitbull,2012,208,Joy,52,18,2,15,1,3,45,6,7,11
Work Out,J. Cole,2012,235,Trust,20,15,10,8,9,2,14,5,11,16
Rumour Has It,Adele,2012,222,Joy,10,11,1,3,4,2,6,3,3,4
Let's Go,Calvin Harris Featuring Ne-Yo,2012,233,Anticipation,9,1,0,10,0,0,0,0,0,0
Good Girl,Carrie Underwood,2012,206,Anticipation,29,11,3,28,4,2,26,3,26,24
Pontoon,Little Big Town,2012,209,Anticipation,3,2,0,4,0,0,1,2,2,2
Ho Hey,The Lumineers,2012,164,Joy,8,2,1,7,1,1,8,5,3,8
Paradise,Coldplay,2012,278,Surprise,4,4,1,4,1,3,1,1,5,3
Blown Away,Carrie Underwood,2012,241,Surprise,5,23,13,7,4,14,3,12,19,4
Rolling In The Deep,Adele,2012,229,Sadness,16,20,5,8,6,10,11,22,5,8
Climax,Usher,2012,233,Joy,15,11,2,13,1,0,15,6,12,12
"Work Hard, Play Hard",Wiz Khalifa,2012,220,Anticipation,22,12,19,21,8,7,14,5,9,12
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012,252,Joy,62,9,3,0,2,5,55,4,1,3
Pound The Alarm,Nicki Minaj,2012,206,Fear,6,28,16,1,6,18,5,8,11,6
Come Over,Kenny Chesney,2012,248,Joy,7,4,2,3,2,1,6,2,1,3
Heart Attack,Trey Songz,2012,233,Sadness,20,40,20,3,10,32,14,35,9,5
Drank In My Cup,Kirko Bangz,2012,232,Anger,17,17,11,1,4,7,11,6,4,1
Birthday Cake,Rihanna Featuring Chris Brown,2012,79,Joy,72,34,21,31,27,19,35,23,28,18
50 Ways To Say Goodbye,Train,2012,247,Sadness,26,23,11,9,8,13,16,20,13,14
Red Solo Cup,Toby Keith,2012,224,Trust,18,8,2,5,1,4,14,4,3,15
Love You Like A Love Song,Selena Gomez & The Scene,2012,189,Joy,75,2,1,6,1,0,75,2,4,6
Turn Up The Music,Chris Brown,2012,228,Joy,49,0,0,1,0,0,49,26,1,22
Die Young,Ke$ha,2012,212,Fear,24,29,2,22,5,24,23,24,21,7
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2012,281,Anticipation,10,51,14,33,7,15,7,14,10,4
A Thousand Years,Christina Perri,2012,288,Joy,16,12,0,7,0,9,16,5,1,5
You Da One,Rihanna,2012,201,Joy,42,10,4,6,2,1,40,7,2,4
We Run The Night,Havana Brown Featuring Pitbull,2012,229,Joy,17,6,3,9,3,4,13,6,4,5
It's Time,Imagine Dragons,2012,241,Anticipation,4,14,2,8,2,7,0,7,3,2
Cashin' Out,Ca$h Out,2012,238,Joy,43,19,20,19,5,19,23,10,11,19
I Don't Want This Night To End,Luke Bryan,2012,220,Trust,16,5,7,12,4,1,12,2,9,14
Diamonds,Rihanna,2012,226,Joy,100,3,2,14,0,3,60,1,2,10
Hard To Love,Lee Brice,2012,224,Joy,46,0,4,12,0,0,37,0,7,13
Somethin' 'Bout A Truck,Kip Moore,2012,214,Anger,24,31,24,11,3,4,17,4,9,11
Adorn,Miguel,2012,195,Joy,38,3,0,13,0,0,35,2,5,10
Fly Over States,Jason Aldean,2012,218,Anticipation,10,4,1,10,0,4,6,1,2,6
Even If It Breaks Your Heart,Eli Young Band,2012,220,Joy,9,0,0,6,0,1,7,5,7,4
Burn It Down,Linkin Park,2012,230,Anticipation,12,19,8,10,2,3,2,7,8,1
