title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Thinking Out Loud,Ed Sheeran,2015,297,Joy,33,8,2,10,0,2,31,5,8,9
See You Again,Wiz Khalifa Featuring Charlie Puth,2015,229,Joy,17,7,6,10,3,3,11,3,5,10
Trap Queen,Fetty Wap,2015,245,Joy,37,26,18,17,7,6,31,7,16,18
Sugar,Maroon 5,2015,236,Joy,43,9,3,5,1,5,22,11,8,9
Shut Up And Dance,WALK THE MOON,2015,200,Trust,11,4,6,8,0,7,11,2,2,16
Blank Space,Taylor Swift,2015,273,Joy,39,46,26,28,14,31,32,23,14,19
Watch Me,Silento,2015,186,Fear,4,37,18,77,12,83,4,6,20,4
Earned It (Fifty Shades Of Grey),The Weeknd,2015,252,Anticipation,42,9,12,19,5,6,16,6,5,19
The Hills,The Weeknd,2015,243,Trust,22,4,3,7,3,5,9,4,0,17
Cheerleader,OMI,2015,190,Joy,17,6,2,4,2,0,12,2,5,5
Can't Feel My Face,The Weeknd,2015,219,Joy,21,11,3,8,3,9,21,9,2,0
Love Me Like You Do,Ellie Goulding,2015,250,Joy,21,11,1,7,0,4,20,2,0,0
Take Me To Church,Hozier,2015,244,Anticipation,55,27,30,44,23,31,39,24,13,40
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,201,Fear,32,39,30,9,23,36,26,30,4,8
Lean On,Major Lazer & DJ Snake Featuring MO,2015,176,Fear,16,12,12,16,0,24,13,0,13,1
Want To Want Me,Jason Derulo,2015,208,Joy,4,3,1,1,1,1,2,2,2,2
Shake It Off,Taylor Swift,2015,220,Disgust,12,39,17,2,20,17,12,19,17,3
Where Are U Now,Skrillex & Diplo With Justin Bieber,2015,250,Trust,4,5,1,1,1,1,2,3,3,4
Fight Song,Rachel Platten,2015,206,Fear,5,27,16,8,5,20,1,9,12,2
679,Fetty Wap Featuring Remy Boyz,2015,188,Joy,27,16,10,11,8,8,13,4,8,9
Lips Are Movin,Meghan Trainor,2015,183,Joy,31,29,18,19,15,0,24,16,8,4
Worth It,Fifth Harmony Featuring Kid Ink,2015,225,Joy,51,9,0,7,3,0,14,4,4,9
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015,226,Surprise,18,18,14,14,6,9,14,9,17,17
"Honey, I'm Good.",Andy Grammer,2015,200,Joy,33,10,3,18,3,2,24,10,14,16
I'm Not The Only One,Sam Smith,2015,240,Sadness,7,12,8,1,2,8,6,9,0,4
Good For You,Selena Gomez Featuring A$AP Rocky,2015,221,Trust,39,28,10,33,12,7,34,10,31,45
All About That Bass,Meghan Trainor,2015,188,Anger,12,34,40,7,6,3,8,6,0,6
Style,Taylor Swift,2015,231,Anticipation,14,8,0,18,0,6,6,6,9,6
Hotline Bling,Drake,2015,296,Sadness,11,19,1,2,2,1,11,15,8,4
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015,193,Trust,19,11,6,6,10,7,10,7,7,12
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015,190,Trust,23,7,2,4,2,2,7,0,7,20
What Do You Mean?,Justin Bieber,2015,206,Anticipation,7,8,3,7,0,0,6,4,4,1
Photograph,Ed Sheeran,2015,258,Joy,14,11,4,10,0,5,11,5,3,5
Hello,Adele,2015,296,Anticipation,5,2,0,7,0,0,3,1,4,4
Stitches,Shawn Mendes,2015,207,Anticipation,21,18,2,15,0,5,12,14,13,5
Talking Body,Tove Lo,2015,239,Joy,35,3,2,16,0,2,20,0,2,14
Jealous,Nick Jonas,2015,224,Anger,14,26,22,3,16,7,13,11,3,2
Time Of Our Lives,Pitbull & Ne-Yo,2015,229,Anticipation,27,16,8,34,4,4,20,6,8,14
Locked Away,R. City Featuring Adam Levine,2015,228,Sadness,22,22,10,2,9,9,21,22,6,9
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015,189,Trust,13,9,5,6,2,2,5,3,3,10
Centuries,Fall Out Boy,2015,228,Sadness,9,16,5,5,2,6,4,7,3,3
My Way,Fetty Wap Featuring Monty,2015,214,Anger,20,27,22,9,17,16,13,13,3,9
Take Your Time,Sam Hunt,2015,243,Joy,14,15,9,11,5,11,12,9,2,9
Animals,Maroon 5,2015,232,Anger,20,40,31,7,22,14,13,18,0,5
I Don't F**k With You,Big Sean Featuring E-40,2015,285,Anger,23,54,33,9,30,28,9,28,12,15
B**** Better Have My Money,Rihanna,2015,220,Anger,29,49,61,30,34,39,26,31,20,29
Flex (Ooh Ooh Ooh),Rich Homie Quan,2015,176,Disgust,16,22,9,11,17,11,9,12,1,11
Nasty Freestyle,T-Wayne,2015,143,Anger,15,28,14,12,9,12,6,8,4,8
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015,312,Anger,43,42,25,13,17,20,12,24,11,20
Elastic Heart,Sia,2015,258,Fear,9,17,6,2,3,8,4,7,3,4
Cool For The Summer,Demi Lovato,2015,215,Sadness,19,13,4,7,4,6,6,9,2,4
Renegades,X Ambassadors,2015,196,Anger,6,20,15,4,1,4,0,1,3,4
I Don't Mind,Usher Featuring Juicy J,2015,252,Joy,72,13,51,57,3,3,62,10,56,59
Love Me Harder,Ariana Grande & The Weeknd,2015,237,Joy,42,12,1,1,0,4,40,8,5,1
Wildest Dreams,Taylor Swift,2015,221,Anticipation,16,9,4,10,4,4,6,6,4,6
Stay With Me,Sam Smith,2015,173,Joy,12,2,1,4,0,1,12,2,4,6
