title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019,158,Sadness,10,28,13,4,13,17,7,19,14,1
Without Me,Halsey,2019,202,Joy,14,13,5,0,4,5,9,9,6,1
Bad Guy,Billie Eilish,2019,195,Sadness,6,24,18,7,19,18,6,22,2,6
Wow.,Post Malone,2019,150,Anger,4,15,9,2,9,5,1,6,3,6
Happier,Marshmello & Bastille,2019,215,Surprise,11,12,2,2,1,6,5,9,11,4
7 Rings,Ariana Grande,2019,178,Joy,18,18,12,9,5,8,14,8,5,12
Talk,Khalid,2019,197,Sadness,20,8,5,2,3,4,0,9,5,4
Sicko Mode,Travis Scott,2019,313,Anger,29,38,22,11,16,12,18,7,9,19
Sucker,Jonas Brothers,2019,182,Anger,15,24,15,3,0,7,6,9,3,15
High Hopes,Panic! At The Disco,2019,191,Anticipation,36,17,7,35,4,12,30,7,23,27
"Thank U, Next",Ariana Grande,2019,207,Joy,36,16,9,14,6,14,23,11,19,19
Truth Hurts,Lizzo,2019,174,Anger,22,26,24,8,9,22,9,21,9,8
Dancing With A Stranger,Sam Smith & Normani,2019,171,Joy,34,14,1,1,1,14,34,0,0,22
Senorita,Shawn Mendes & Camila Cabello,2019,190,Joy,13,9,4,4,3,3,12,4,4,4
I Don't Care,Ed Sheeran & Justin Bieber,2019,223,Joy,25,18,15,11,12,20,24,15,8,8
Going Bad,Meek Mill Featuring Drake,2019,180,Trust,10,17,10,8,11,7,5,12,3,15
Shallow,Lady Gaga & Bradley Cooper,2019,216,Fear,3,10,6,10,3,12,3,7,4,4
Better,Khalid,2019,229,Joy,8,6,1,2,0,4,5,5,5,5
No Guidance,Chris Brown Featuring Drake,2019,260,Joy,32,19,12,14,10,7,24,8,13,17
Girls Like You,Maroon 5 Featuring Cardi B,2019,236,Joy,16,4,2,11,1,1,12,3,2,8
Sweet But Psycho,Ava Max,2019,187,Anger,19,29,19,10,5,16,13,13,13,13
Suge,DaBaby,2019,163,Anger,42,43,37,35,24,16,25,13,30,28
Middle Child,J. Cole,2019,214,Trust,48,35,23,22,14,13,26,10,20,32
Drip Too Hard,Lil Baby & Gunna,2019,146,Anticipation,20,23,15,21,9,19,16,11,8,11
Someone You Loved,Lewis Capaldi,2019,196,Fear,20,8,4,3,0,11,9,4,2,8
Ran$om,Lil Tecca,2019,131,Joy,37,32,26,15,16,15,28,3,6,28
If I Can't Have You,Shawn Mendes,2019,191,Sadness,3,12,2,3,2,2,2,9,2,2
Goodbyes,Post Malone Featuring Young Thug,2019,175,Joy,16,10,7,6,3,8,14,4,6,13
ZEZE,Kodak Black Featuring Travis Scott & Offset,2019,225,Fear,53,60,47,22,30,50,23,11,10,35
Better Now,Post Malone,2019,232,Trust,11,3,1,1,1,1,5,0,1,6
Youngblood,5 Seconds Of Summer,2019,203,Anticipation,12,7,1,9,4,4,5,2,1,3
Money In The Grave,Drake Featuring Rick Ross,2019,205,Trust,32,26,15,18,6,20,21,21,15,28
Speechless,Dan + Shay,2019,213,Anticipation,6,9,2,14,2,7,5,0,2,6
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019,190,Anger,3,17,11,1,4,2,1,2,6,1
Please Me,Cardi B & Bruno Mars,2019,232,Joy,25,15,14,15,5,4,23,8,4,2
Money,Cardi B,2019,184,Anger,52,39,58,39,22,26,41,20,39,37
You Need To Calm Down,Taylor Swift,2019,172,Fear,15,11,7,4,6,9,5,4,3,4
Panini,Lil Nas X,2019,115,Anger,2,3,3,2,3,0,2,2,1,1
Look Back At It,A Boogie Wit da Hoodie,2019,180,Joy,31,8,6,20,2,0,28,1,12,15
A Lot,21 Savage,2019,288,Surprise,38,63,33,42,19,38,24,35,59,31
ME!,Taylor Swift Featuring Brendon Urie,2019,194,Joy,37,5,3,10,0,1,37,1,1,15
MIA,Bad Bunny Featuring Drake,2019,210,Anger,1,1,1,0,1,1,1,1,0,0
Pop Out,Polo G Featuring Lil Tjay,2019,167,Fear,17,41,31,6,16,33,3,23,8,8
Beautiful Crazy,Luke Combs,2019,193,Fear,10,27,13,6,2,18,10,14,10,6
Thotiana,Blueface,2019,130,Anger,12,35,30,4,18,17,7,6,11,3
Lucid Dreams,Juice WRLD,2019,239,Sadness,12,26,9,1,9,13,10,16,7,1
Mo Bamba,Sheck Wes,2019,186,Disgust,12,24,22,6,23,18,7,16,9,2
Beautiful People,Ed Sheeran Featuring Khalid,2019,197,Joy,26,9,4,5,0,2,13,2,4,5
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2019,204,Joy,24,15,11,11,11,13,16,10,4,8
Whiskey Glasses,Morgan Wallen,2019,234,Trust,12,11,7,2,1,6,2,8,0,27
God's Country,Blake Shelton,2019,205,Trust,29,12,5,18,10,14,18,5,5,19
Be Alright,Dean Lewis,2019,197,Joy,16,15,7,6,1,6,11,8,2,10
Pure Water,Mustard & Migos,2019,193,Anger,47,41,44,17,26,41,21,27,8,20
The Git Up,Blanco Brown,2019,200,Sadness,18,31,14,14,8,9,12,28,18,12
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019,213,Joy,18,13,8,7,7,7,9,9,6,6
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019,183,Fear,2,5,4,2,3,5,2,2,1,2
Envy Me,Calboy,2019,136,Anger,18,23,16,6,11,15,5,13,6,10
You Say,Lauren Daigle,2019,275,Joy,6,6,2,2,2,3,5,5,0,3
"Hey Look Ma, I Made It",Panic! At The Disco,2019,170,Trust,18,14,8,11,7,9,11,10,8,13
Circles,Post Malone,2019,216,Anticipation,8,15,8,12,5,6,8,2,1,6
Beer Never Broke My Heart,Luke Combs,2019,187,Joy,18,14,2,3,4,3,14,4,9,8
The London,"Young Thug, J. Cole & Travis Scott",2019,200,Anticipation,33,22,11,20,4,11,14,10,10,16
Murder On My Mind,YNW Melly,2019,297,Fear,8,64,47,4,48,53,7,49,39,4
