title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
When The Party's Over,Billie Eilish,2019,197,Sadness,7,9,8,1,7,2,2,12,3,2
Act Up,City Girls,2019,159,Anger,18,34,20,11,19,18,12,17,6,9
I Like It,"Cardi B, Bad Bunny & J Balvin",2019,254,Anger,15,29,25,10,11,25,8,10,4,12
Trampoline,SHAED,2019,185,Joy,17,16,3,8,3,11,13,9,6,2
Leave Me Alone,Flipp Dinero,2019,195,Anger,16,74,43,14,38,30,5,38,22,6
Breathin,Ariana Grande,2019,198,Anticipation,6,6,4,6,2,0,0,0,0,3
Bury A Friend,Billie Eilish,2019,194,Sadness,11,12,4,4,7,7,7,18,2,7
Close Friends,Lil Baby,2019,203,Joy,29,22,15,8,14,10,18,12,6,12
Baby Shark,Pinkfong,2019,137,Joy,8,19,0,0,0,0,8,0,0,4
My Type,Saweetie,2019,127,Anger,8,27,20,7,20,12,7,11,9,6
Worth It,YK Osiris,2019,190,Joy,37,4,2,11,1,1,20,2,1,12
Only Human,Jonas Brothers,2019,183,Joy,27,25,13,6,2,13,24,16,8,21
Knockin' Boots,Luke Bryan,2019,199,Anticipation,15,12,4,10,4,4,9,9,7,8
Trip,Ella Mai,2019,213,Disgust,27,32,19,4,26,23,26,24,21,8
Rumor,Lee Brice,2019,223,Sadness,6,13,7,1,2,2,4,8,0,3
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019,190,Anticipation,27,35,15,16,14,11,11,12,11,12
How Do You Sleep?,Sam Smith,2019,202,Sadness,17,25,13,1,12,13,16,18,6,1
Baby,Lil Baby & DaBaby,2019,143,Trust,20,8,3,20,1,2,17,4,12,22
Look What God Gave Her,Thomas Rhett,2019,169,Trust,24,9,5,17,4,12,18,7,5,20
Good As You,Kane Brown,2019,193,Joy,22,9,0,8,0,0,19,9,15,6
Clout,Offset Featuring Cardi B,2019,201,Fear,23,59,32,13,28,36,11,32,13,14
Love Lies,Khalid & Normani,2019,201,Disgust,21,27,19,4,23,5,19,14,4,9
One Thing Right,Marshmello & Kane Brown,2019,181,Joy,23,44,12,12,8,15,19,11,8,9
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019,192,Anger,44,67,67,28,46,27,25,21,17,29
Tequila,Dan + Shay,2019,196,Joy,14,11,4,1,3,3,10,6,4,4
Shotta Flow,NLE Choppa,2019,160,Anger,15,39,28,6,17,17,8,8,4,7
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019,199,Anger,47,47,65,7,36,22,12,22,4,31
Talk You Out Of It,Florida Georgia Line,2019,203,Joy,23,7,2,10,2,0,13,1,2,2
Beautiful,Bazzi Featuring Camila Cabello,2019,180,Joy,44,5,0,15,0,5,39,0,7,13
Eyes On You,Chase Rice,2019,183,Anticipation,8,2,0,3,0,2,3,1,1,1
All To Myself,Dan + Shay,2019,169,Sadness,2,10,4,4,4,3,2,7,4,0
Boyfriend,Ariana Grande & Social House,2019,187,Joy,17,15,12,4,5,8,14,7,5,5
Walk Me Home,P!nk,2019,177,Trust,5,9,0,5,0,0,5,3,4,6
Robbery,Juice WRLD,2019,241,Sadness,15,22,13,6,7,18,12,19,6,1
