title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Perfect,Ed Sheeran,2018,264,Joy,34,4,3,16,1,1,31,4,3,22
Meant To Be,Bebe Rexha & Florida Georgia Line,2018,163,Joy,21,7,5,7,4,2,20,5,1,5
Havana,Camila Cabello Featuring Young Thug,2018,218,Anticipation,4,5,2,3,1,0,3,1,1,1
Rockstar,Post Malone Featuring 21 Savage,2018,219,Anger,21,19,19,8,7,10,12,10,4,19
Psycho,Post Malone Featuring Ty Dolla $ign,2018,222,Trust,25,21,18,10,16,8,21,8,5,25
I Like It,"Cardi B, Bad Bunny & J Balvin",2018,254,Anger,15,29,25,10,11,25,8,10,4,12
The Middle,"Zedd, Maren Morris & Grey",2018,184,Joy,16,13,9,2,9,7,10,8,10,3
In My Feelings,Drake,2018,218,Joy,30,22,10,3,7,4,16,14,9,13
Girls Like You,Maroon 5 Featuring Cardi B,2018,236,Joy,16,4,2,11,1,1,12,3,2,8
Nice For What,Drake,2018,211,Sadness,23,32,12,5,5,9,19,22,1,7
Lucid Dreams,Juice WRLD,2018,239,Sadness,12,26,9,1,9,13,10,16,7,1
Better Now,Post Malone,2018,232,Trust,11,3,1,1,1,1,5,0,1,6
Boo'd Up,Ella Mai,2018,257,Joy,8,32,3,1,1,3,6,3,1,0
New Rules,Dua Lipa,2018,210,Trust,37,5,4,4,2,11,17,1,1,31
Sad!,XXXTENTACION,2018,166,Fear,2,20,11,1,5,17,2,13,4,0
Never Be The Same,Camila Cabello,2018,227,Anger,1,37,24,0,13,4,1,1,4,1
Love Lies,Khalid & Normani,2018,201,Disgust,21,27,19,4,23,5,19,14,4,9
No Tears Left To Cry,Ariana Grande,2018,205,Sadness,1,19,1,3,3,1,0,17,12,1
Mine,Bazzi,2018,131,Anticipation,9,8,2,9,5,3,7,2,4,7
Thunder,Imagine Dragons,2018,188,Surprise,7,4,12,3,1,11,5,1,14,6
Look Alive,BlocBoy JB Featuring Drake,2018,181,Anger,18,29,17,15,10,13,11,12,3,11
Delicate,Taylor Swift,2018,233,Sadness,14,7,2,4,2,3,5,6,0,4
Yes Indeed,Lil Baby & Drake,2018,142,Anger,13,24,21,7,8,10,8,13,8,12
Friends,Marshmello & Anne-Marie,2018,206,Trust,23,14,10,4,7,9,6,4,0,13
Bad At Love,Halsey,2018,184,Disgust,19,35,23,9,27,20,16,26,4,4
Taste,Tyga Featuring Offset,2018,233,Anger,24,31,20,8,10,18,14,14,7,9
Let You Down,NF,2018,212,Anticipation,19,17,4,11,4,5,9,9,10,9
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018,278,Trust,70,33,47,43,15,15,56,17,24,60
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018,180,Trust,27,24,22,10,8,13,22,7,9,23
Tequila,Dan + Shay,2018,196,Joy,14,11,4,1,3,3,10,6,4,4
Feel It Still,Portugal. The Man,2018,164,Anger,5,35,24,5,1,14,5,7,5,4
MotorSport,"Migos, Nicki Minaj & Cardi B",2018,304,Anger,34,56,43,15,21,40,10,26,18,15
I Like Me Better,Lauv,2018,197,Anticipation,7,2,2,12,2,0,4,0,2,2
Youngblood,5 Seconds Of Summer,2018,203,Anticipation,12,7,1,9,4,4,5,2,1,3
Whatever It Takes,Imagine Dragons,2018,202,Surprise,25,24,12,14,6,13,13,10,16,10
Ric Flair Drip,Offset & Metro Boomin,2018,172,Anger,9,27,14,8,9,11,8,7,1,12
I Fall Apart,Post Malone,2018,224,Sadness,12,25,10,2,11,12,4,16,10,4
Pray For Me,The Weeknd & Kendrick Lamar,2018,212,Fear,24,30,10,18,3,30,18,17,12,22
Back To You,Selena Gomez,2018,211,Anger,11,11,7,2,5,4,3,6,3,6
Sicko Mode,Travis Scott,2018,313,Anger,29,38,22,11,16,12,18,7,9,19
Walk It Talk It,Migos Featuring Drake,2018,277,Anger,101,25,22,5,6,14,3,5,5,6
Gucci Gang,Lil Pump,2018,124,Anger,5,86,71,0,18,68,4,24,1,1
Him & I,G-Eazy & Halsey,2018,198,Sadness,45,47,34,14,16,34,25,40,11,27
In My Blood,Shawn Mendes,2018,211,Fear,1,8,2,1,3,4,0,2,0,0
All The Stars,Kendrick Lamar & SZA,2018,235,Joy,40,16,5,24,4,12,30,5,4,28
Stir Fry,Migos,2018,191,Anger,27,38,31,14,4,10,9,10,3,12
Too Good At Goodbyes,Sam Smith,2018,265,Anticipation,21,24,5,25,3,7,20,19,22,14
Love.,Kendrick Lamar Featuring Zacari,2018,214,Joy,43,11,12,17,4,2,36,9,14,19
This Is America,Childish Gambino,2018,245,Sadness,23,37,22,19,5,8,20,31,27,22
Nonstop,Drake,2018,239,Anger,24,31,28,12,19,22,11,7,10,16
Heaven,Kane Brown,2018,180,Anticipation,17,4,1,17,0,0,11,1,7,12
Bodak Yellow (Money Moves),Cardi B,2018,224,Anger,29,38,34,18,21,20,23,21,10,28
Freaky Friday,Lil Dicky Featuring Chris Brown,2018,216,Anger,25,29,18,17,13,11,10,12,6,14
Gummo,6ix9ine,2018,161,Anger,18,41,43,6,21,20,9,11,5,10
Plug Walk,Rich The Kid,2018,175,Sadness,11,8,1,0,2,1,2,5,0,2
Wait,Maroon 5,2018,191,Anticipation,9,28,3,26,5,3,6,8,3,4
Be Careful,Cardi B,2018,211,Anger,36,30,17,14,15,15,14,14,11,12
Bartier Cardi,Cardi B Featuring 21 Savage,2018,225,Anger,41,46,44,24,8,28,16,26,4,14
God Is A Woman,Ariana Grande,2018,197,Joy,27,8,4,22,3,18,24,0,1,18
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018,237,Trust,49,39,44,33,24,28,38,18,27,90
Sorry Not Sorry,Demi Lovato,2018,204,Joy,43,35,25,12,14,28,32,23,5,11
How Long,Charlie Puth,2018,198,Joy,26,14,1,11,4,7,16,2,0,10
Lights Down Low,MAX Featuring gnash,2018,223,Joy,17,6,5,6,2,9,14,3,5,5
Young Dumb & Broke,Khalid,2018,248,Surprise,47,32,2,42,1,1,47,2,59,8
One Kiss,Calvin Harris & Dua Lipa,2018,214,Joy,21,3,3,16,3,3,19,4,11,4
