title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,2007,250,Anticipation,22,18,11,16,4,8,10,8,10,11
Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,2007,239,Anger,18,24,15,13,9,9,7,9,2,12
Teardrops On My Guitar,Taylor Swift,2007,204,Joy,20,3,0,7,1,0,15,4,6,9
Shut Up And Drive,Rihanna,2007,213,Fear,7,17,11,11,6,15,6,10,9,1
Snow ((Hey Oh)),Red Hot Chili Peppers,2007,334,Anticipation,22,9,0,21,0,5,17,7,3,20
Money Maker,Ludacris Featuring Pharrell,2007,231,Anticipation,46,34,36,42,11,16,34,11,26,40
Far Away,Nickelback,2007,238,Anticipation,11,8,1,9,1,3,8,6,5,1
LoveStoned,Justin Timberlake,2007,445,Anger,22,34,32,3,7,8,15,9,4,9
Better Than Me,Hinder,2007,223,Anger,12,5,10,10,3,1,1,5,1,7
Paralyzer,Finger Eleven,2007,208,Anger,2,4,4,1,0,0,1,2,0,0
That's That,Snoop Dogg Featuring R. Kelly,2007,258,Anger,30,48,34,14,32,8,16,7,12,23
