title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Perfect,Ed Sheeran,2018,264,Love,34,4,3,16,1,1,31,4,3,22,34
Meant To Be,Bebe Rexha & Florida Georgia Line,2018,163,Joy,21,7,5,7,4,2,20,5,1,5,15
Havana,Camila Cabello Featuring Young Thug,2018,218,Anticipation,6,5,2,5,1,0,5,1,1,1,3
Rockstar,Post Malone Featuring 21 Savage,2018,219,Anger,21,19,19,8,7,10,12,10,4,19,2
Psycho,Post Malone Featuring Ty Dolla $ign,2018,222,Trust,25,21,18,10,16,8,21,8,5,25,2
I Like It,"Cardi B, Bad Bunny & J Balvin",2018,254,Anger,15,29,25,10,11,25,8,10,4,12,2
The Middle,"Zedd, Maren Morris & Grey",2018,184,Joy,16,13,9,2,9,7,10,8,10,3,7
In My Feelings,Drake,2018,218,Love,30,22,10,3,7,4,16,14,9,13,14
Girls Like You,Maroon 5 Featuring Cardi B,2018,236,Love,20,4,2,15,1,1,16,3,2,8,12
Nice For What,Drake,2018,211,Sadness,23,32,12,5,5,9,19,22,1,7,1
Lucid Dreams,Juice WRLD,2018,239,Sadness,12,26,9,1,9,13,10,16,7,1,0
Better Now,Post Malone,2018,232,Trust,11,3,1,1,1,1,5,0,1,6,0
Boo'd Up,Ella Mai,2018,257,Joy,8,32,3,1,1,3,6,3,1,0,3
New Rules,Dua Lipa,2018,210,Trust,37,5,4,4,2,11,17,1,1,31,1
Sad!,XXXTENTACION,2018,166,Fear,2,20,11,1,5,17,2,13,4,0,0
Never Be The Same,Camila Cabello,2018,227,Anger,13,37,24,12,13,4,13,1,4,1,12
Love Lies,Khalid & Normani,2018,201,Disgust,21,27,19,4,23,5,19,14,4,9,4
No Tears Left To Cry,Ariana Grande,2018,205,Sadness,5,19,1,7,3,1,4,17,12,1,4
Mine,Bazzi,2018,131,Anticipation,9,8,2,9,5,3,7,2,4,7,0
Thunder,Imagine Dragons,2018,188,Surprise,7,4,12,3,1,11,5,1,14,6,0
Look Alive,BlocBoy JB Featuring Drake,2018,181,Anger,18,29,17,15,10,13,11,12,3,11,0
Delicate,Taylor Swift,2018,233,Love,17,7,2,7,2,3,8,6,0,4,8
Yes Indeed,Lil Baby & Drake,2018,142,Anger,13,24,21,7,8,10,8,13,8,12,2
Friends,Marshmello & Anne-Marie,2018,206,Trust,23,14,10,4,7,9,6,4,0,13,0
Bad At Love,Halsey,2018,184,Disgust,19,35,23,9,27,20,16,26,4,4,0
Taste,Tyga Featuring Offset,2018,233,Anger,24,31,20,8,10,18,14,14,7,9,0
Let You Down,NF,2018,212,Anticipation,19,17,4,11,4,5,9,9,10,9,0
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018,278,Love,70,33,47,43,15,15,56,17,24,60,56
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018,180,Love,27,24,22,10,8,13,22,7,9,23,22
Tequila,Dan + Shay,2018,196,Joy,14,11,4,1,3,3,10,6,4,4,8
Feel It Still,Portugal. The Man,2018,164,Anger,5,35,24,5,1,14,5,7,5,4,2
MotorSport,"Migos, Nicki Minaj & Cardi B",2018,304,Anger,34,56,43,15,21,40,10,26,18,15,1
I Like Me Better,Lauv,2018,197,Anticipation,8,2,2,13,2,0,5,0,2,2,1
Youngblood,5 Seconds Of Summer,2018,203,Anticipation,12,7,1,9,4,4,5,2,1,3,2
