title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,263,Anticipation,27,12,11,24,10,11,15,9,18,18,0
Firework,Katy Perry,2011,228,Love,18,9,5,5,2,6,8,4,6,5,11
E.T.,Katy Perry Featuring Kanye West,2011,230,Disgust,21,35,8,19,20,19,17,11,12,11,9
Grenade,Bruno Mars,2011,223,Sadness,12,21,3,2,8,14,12,17,4,2,5
Super Bass,Nicki Minaj,2011,219,Disgust,7,14,4,6,9,3,4,3,6,9,1
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,202,Trust,13,4,3,8,2,3,9,1,5,12,5
Just Can't Get Enough,The Black Eyed Peas,2011,220,Joy,27,19,5,8,6,8,20,5,5,6,6
On The Floor,Jennifer Lopez Featuring Pitbull,2011,231,Fear,17,16,7,5,8,10,9,6,4,9,2
S&M,Rihanna,2011,252,Anger,26,24,26,16,13,14,26,9,16,12,5
Pumped Up Kicks,Foster The People,2011,240,Anger,6,27,23,6,1,12,2,3,3,0,0
Last Friday Night (T.G.I.F.),Katy Perry,2011,231,Trust,14,23,13,6,4,6,10,5,6,14,3
Just The Way You Are,Bruno Mars,2011,242,Surprise,11,2,1,5,1,5,11,1,14,6,3
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,233,Trust,9,8,4,2,3,1,5,3,0,6,3
Raise Your Glass,P!nk,2011,202,Disgust,9,18,9,5,11,5,6,3,6,4,0
Born This Way,Lady Gaga,2011,261,Joy,55,17,38,27,3,45,52,16,6,15,28
F**kin' Perfect,P!nk,2011,214,Anticipation,33,16,7,30,6,8,30,5,3,30,0
What's My Name?,Rihanna Featuring Drake,2011,264,Disgust,15,24,5,9,17,4,7,3,7,9,2
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,223,Anger,23,30,21,12,17,15,8,15,12,12,1
Down On Me,Jeremih Featuring 50 Cent,2011,228,Anger,15,20,16,10,13,14,12,9,8,9,8
How To Love,Lil Wayne,2011,241,Joy,45,17,9,11,2,7,36,10,6,10,5
Someone Like You,Adele,2011,286,Sadness,10,22,11,5,2,16,10,19,2,3,0
Good Life,OneRepublic,2011,253,Love,36,6,5,30,1,6,36,2,29,33,33
The Lazy Song,Bruno Mars,2011,190,Surprise,14,11,2,6,2,2,5,5,8,8,1
