title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Till The World Ends,Britney Spears,2011,237,Love,9,6,4,5,4,5,7,5,3,6,10
The Show Goes On,Lupe Fiasco,2011,257,Trust,17,22,11,24,11,11,14,8,13,37,0
The Edge Of Glory,Lady Gaga,2011,321,Love,25,7,4,10,1,4,20,3,1,13,21
We R Who We R,Ke$ha,2011,204,Love,23,29,6,10,8,1,20,5,9,10,10
Black And Yellow,Wiz Khalifa,2011,217,Sadness,23,64,11,5,7,5,11,50,6,7,0
Tonight Tonight,Hot Chelle Rae,2011,200,Trust,16,11,6,14,3,8,13,7,3,17,0
Blow,Ke$ha,2011,220,Disgust,5,12,6,4,7,7,6,4,2,3,0
Lighters,Bad Meets Evil Featuring Bruno Mars,2011,303,Fear,45,39,20,17,17,22,13,16,10,17,0
If I Die Young,The Band Perry,2011,230,Love,29,13,0,15,4,3,18,9,5,17,18
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011,211,Love,28,14,7,14,3,5,20,16,7,21,21
The Time (Dirty Bit),The Black Eyed Peas,2011,308,Trust,20,21,8,14,7,6,4,3,4,15,3
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,239,Sadness,27,27,14,17,13,13,17,18,9,13,2
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011,204,Joy,77,13,8,8,4,9,70,6,5,8,64
Only Girl (In The World),Rihanna,2011,236,Joy,10,5,3,0,3,2,9,3,1,1,3
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011,249,Anger,61,41,53,43,25,29,40,24,39,35,3
Just A Kiss,Lady Antebellum,2011,218,Joy,14,8,4,10,3,7,13,4,11,2,11
Dirt Road Anthem,Jason Aldean,2011,229,Anticipation,27,21,4,19,9,5,15,7,11,15,1
Dynamite,Taio Cruz,2011,203,Trust,11,2,1,4,0,0,7,0,0,9,3
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011,264,Anger,29,27,29,23,14,26,21,12,18,19,1
I Wanna Go,Britney Spears,2011,211,Disgust,6,7,2,4,5,4,0,5,1,1,0
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011,296,Anticipation,33,21,22,24,11,15,22,11,16,19,4
You Make Me Feel...,Cobra Starship Featuring Sabi,2011,215,Anticipation,7,3,1,4,0,0,4,1,1,3,2
Yeah 3X,Chris Brown,2011,242,Joy,12,5,3,8,2,5,12,4,4,3,2
Moment 4 Life,Nicki Minaj Featuring Drake,2011,280,Anticipation,54,17,16,41,6,13,40,4,14,40,0
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011,283,Trust,46,34,19,19,15,16,16,18,14,38,2
Just A Dream,Nelly,2011,238,Anger,19,19,16,5,0,0,13,1,4,6,3
Motivation,Kelly Rowland Featuring Lil Wayne,2011,231,Joy,21,3,2,8,1,2,20,5,2,8,11
Stereo Love,Edward Maya & Vika Jigulina,2011,253,Sadness,26,27,14,3,10,15,22,23,9,9,10
Jar Of Hearts,Christina Perri,2011,246,Joy,14,16,5,9,5,6,11,11,11,4,1
Roll Up,Wiz Khalifa,2011,227,Love,33,4,3,12,2,3,24,1,3,16,28
Sexy And I Know It,LMFAO,2011,200,Trust,6,6,2,7,1,5,6,0,0,12,3
Rocketeer,Far*East Movement Featuring Ryan Tedder,2011,212,Trust,9,4,4,5,2,3,5,2,1,6,1
All Of The Lights,Kanye West,2011,299,Joy,32,15,8,15,6,12,18,6,3,7,13
Hold It Against Me,Britney Spears,2011,229,Anticipation,11,9,4,8,2,6,6,2,2,4,0
More,Usher,2011,220,Fear,6,18,9,7,7,18,6,2,12,4,0
What The Hell,Avril Lavigne,2011,220,Love,22,29,15,10,21,14,22,16,7,11,17
Written In The Stars,Tinie Tempah Featuring Eric Turner,2011,220,Fear,19,22,12,13,7,17,9,7,8,9,0
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011,220,Joy,41,17,5,3,4,6,36,17,3,14,13
For The First Time,The Script,2011,252,Anticipation,15,19,13,18,8,9,9,9,6,4,4
Honey Bee,Blake Shelton,2011,210,Love,27,6,12,14,2,8,17,3,14,11,25
We Found Love,Rihanna Featuring Calvin Harris,2011,216,Joy,21,20,4,1,0,18,20,18,0,1,0
Pretty Girl Rock,Keri Hilson,2011,243,Love,117,33,24,28,24,26,49,33,7,28,50
You And I,Lady Gaga,2011,308,Anticipation,17,16,6,19,2,6,13,12,7,5,5
Like A G6,Far*East Movement Featuring Cataracs & Dev,2011,217,Sadness,2,6,4,0,4,4,1,5,1,0,0
Back To December,Taylor Swift,2011,294,Anticipation,21,9,1,19,0,7,18,6,8,9,2
Teenage Dream,Katy Perry,2011,228,Love,15,5,0,4,1,2,12,4,6,8,11
Crazy Girl,Eli Young Band,2011,244,Love,24,8,3,9,0,2,15,3,11,12,16
Cheers (Drink To That),Rihanna,2011,262,Anger,9,15,9,7,8,7,5,8,6,5,1
Who Says,Selena Gomez & The Scene,2011,196,Love,36,3,3,13,0,4,30,4,2,16,33
Barefoot Blue Jean Night,Jake Owen,2011,167,Joy,21,4,4,12,1,3,17,14,8,17,1
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,2011,204,Fear,20,11,7,10,5,12,12,12,7,9,3
Country Girl (Shake It For Me),Luke Bryan,2011,226,Surprise,18,10,5,12,4,9,13,2,15,8,2
Remind Me,Brad Paisley Duet With Carrie Underwood,2011,254,Joy,17,4,1,6,1,3,18,3,3,2,10
In The Dark,Dev,2011,227,Love,38,9,0,18,2,1,34,16,1,30,39
Headlines,Drake,2011,236,Anticipation,21,11,11,22,3,3,12,8,15,16,0
Best Thing I Never Had,Beyonce,2011,252,Love,23,16,7,15,7,10,18,6,5,16,24
Don't Wanna Go Home,Jason Derulo,2011,207,Anticipation,6,10,11,12,4,9,5,4,3,1,1
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,2011,194,Love,21,5,2,8,2,2,17,0,5,15,17
She Ain't You,Chris Brown,2011,249,Sadness,5,17,6,5,4,8,5,12,9,6,5
Take A Back Road,Rodney Atkins,2011,209,Anger,8,12,11,6,4,6,2,4,3,4,4
Please Don't Go,Mike Posner,2011,197,Joy,25,12,1,12,1,0,25,10,7,3,22
Sure Thing,Miguel,2011,196,Love,65,11,5,27,3,16,45,7,9,26,44
Price Tag,Jessie J Featuring B.o.B,2011,221,Love,47,23,28,37,1,3,45,8,34,42,42
God Gave Me You,Blake Shelton,2011,229,Fear,19,18,4,15,5,22,16,14,9,21,1
She Will,Lil Wayne Featuring Drake,2011,306,Trust,40,29,19,17,16,14,20,16,14,23,7
Are You Gonna Kiss Me Or Not,Thompson Square,2011,184,Joy,19,7,6,13,1,3,18,1,14,7,10
Animal,Neon Trees,2011,213,Anticipation,7,23,2,14,3,6,2,2,0,2,0
You And Tequila,Kenny Chesney Featuring Grace Potter,2011,242,Sadness,9,17,11,3,6,13,7,14,3,5,4
Colder Weather,Zac Brown Band,2011,274,Fear,3,15,9,6,5,11,3,6,3,3,0
My Last,Big Sean Featuring Chris Brown,2011,255,Trust,16,13,12,6,3,4,3,4,1,16,0
