title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013,231,Anger,26,36,24,14,13,18,18,15,15,14,5
Radioactive,Imagine Dragons,2013,187,Fear,5,19,3,2,0,17,1,4,4,5,0
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,424,Anger,24,27,14,11,7,13,8,8,2,14,0
Mirrors,Justin Timberlake,2013,485,Joy,24,10,7,12,3,8,17,3,4,17,5
Just Give Me A Reason,P!nk Featuring Nate Ruess,2013,242,Joy,41,16,9,6,8,8,23,9,11,6,0
When I Was Your Man,Bruno Mars,2013,214,Love,21,9,2,6,2,1,18,4,9,13,15
Cruise,Florida Georgia Line Featuring Nelly,2013,209,Love,27,10,5,7,6,6,12,7,2,6,15
Roar,Katy Perry,2013,224,Joy,16,9,3,9,2,9,10,2,3,10,0
Locked Out Of Heaven,Bruno Mars,2013,235,Anticipation,11,2,2,22,1,4,9,1,2,10,4
Ho Hey,The Lumineers,2013,164,Joy,8,2,1,7,1,1,8,5,3,8,6
Stay,Rihanna Featuring Mikky Ekko,2013,241,Trust,2,1,1,0,0,2,1,0,1,3,0
Get Lucky,Daft Punk Featuring Pharrell Williams,2013,249,Joy,56,3,2,24,0,1,55,2,46,16,0
Royals,Lorde,2013,230,Trust,27,3,4,10,3,18,19,0,4,22,3
I Knew You Were Trouble.,Taylor Swift,2013,220,Sadness,3,24,6,3,10,11,1,15,2,0,0
We Can't Stop,Miley Cyrus,2013,214,Joy,15,7,4,8,1,4,15,3,5,6,4
Wrecking Ball,Miley Cyrus,2013,222,Surprise,7,32,22,3,16,20,6,23,24,0,1
Wake Me Up!,Avicii,2013,248,Sadness,7,10,8,11,8,11,6,13,13,3,0
Suit & Tie,Justin Timberlake Featuring JAY Z,2013,165,Trust,40,28,15,22,14,7,34,14,13,43,4
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013,127,Anticipation,4,2,1,6,0,1,1,2,2,1,1
Holy Grail,Jay Z Featuring Justin Timberlake,2013,339,Anger,37,46,32,12,26,25,24,18,17,11,5
Scream & Shout,will.i.am & Britney Spears,2013,204,Anger,8,28,40,0,25,18,0,5,29,0,0
Clarity,Zedd Featuring Foxes,2013,272,Fear,19,22,9,9,5,15,15,12,4,6,0
Sail,AWOLNATION,2013,259,Joy,7,8,5,1,6,1,7,3,1,2,5
Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013,213,Anticipation,10,17,2,29,1,21,8,19,2,8,0
Diamonds,Rihanna,2013,226,Joy,100,3,2,14,0,3,60,1,2,10,11
I Love It,Icona Pop Featuring Charli XCX,2013,157,Joy,15,15,7,3,7,13,15,10,6,0,0
Safe And Sound,Capital Cities,2013,193,Love,36,5,0,6,0,1,33,4,6,32,32
Treasure,Bruno Mars,2013,179,Joy,31,0,0,21,0,0,26,2,3,26,21
The Way,Ariana Grande Featuring Mac Miller,2013,228,Joy,85,20,8,16,8,13,76,11,4,6,13
Started From The Bottom,Drake,2013,173,Anticipation,11,40,5,33,2,4,6,31,1,26,0
Come & Get It,Selena Gomez,2013,181,Anticipation,20,11,5,27,5,5,17,10,2,4,4
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013,228,Joy,16,2,4,6,0,0,16,2,8,6,4
Daylight,Maroon 5,2013,226,Anticipation,6,6,0,7,0,1,5,4,5,4,1
Feel This Moment,Pitbull Featuring Christina Aguilera,2013,230,Trust,17,4,6,16,2,2,13,1,6,19,3
Applause,Lady Gaga,2013,213,Trust,52,10,5,7,4,6,36,4,38,41,1
One More Night,Maroon 5,2013,220,Joy,16,19,8,10,5,10,16,11,6,4,7
Love Me,Lil Wayne Featuring Drake & Future,2013,256,Anger,35,45,41,26,31,32,30,35,14,15,4
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013,187,Sadness,9,11,6,6,2,12,5,23,1,4,0
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013,234,Fear,31,71,39,11,35,62,22,59,2,14,1
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013,229,Joy,36,10,8,8,1,4,19,5,5,7,12
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013,318,Love,59,34,14,19,11,27,42,19,4,24,25
Sweet Nothing,Calvin Harris Featuring Florence Welch,2013,213,Joy,27,4,0,20,0,2,21,2,17,21,14
Summertime Sadness,Lana Del Rey & Cedric Gervais,2013,266,Trust,17,24,6,9,1,10,13,19,5,23,9
Home,Phillip Phillips,2013,210,Anger,2,6,6,2,4,6,2,4,2,4,0
It's Time,Imagine Dragons,2013,241,Anticipation,4,14,2,8,2,7,0,7,3,2,0
Power Trip,J. Cole Featuring Miguel,2013,240,Joy,32,12,8,3,6,3,26,3,5,7,4
Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013,270,Fear,17,12,10,12,6,36,10,7,3,11,2
Heart Attack,Demi Lovato,2013,211,Fear,20,29,20,14,3,23,14,9,6,14,0
Love Somebody,Maroon 5,2013,230,Love,8,7,1,2,1,1,7,7,2,4,4
I Will Wait,Mumford & Sons,2013,277,Anticipation,5,29,2,23,2,0,1,2,2,1,0
Try,P!nk,2013,247,Sadness,1,10,3,2,2,5,1,9,0,0,0
Wagon Wheel,Darius Rucker,2013,298,Love,35,7,3,6,1,6,8,5,6,5,8
Gangnam Style,PSY,2013,208,Joy,4,0,0,0,0,0,4,0,0,0,4
I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013,235,Love,17,11,5,13,3,7,16,3,0,8,8
Die Young,Ke$ha,2013,212,Fear,24,29,2,22,5,24,23,24,21,7,1
Some Nights,fun.,2013,277,Fear,13,18,6,8,8,12,9,10,6,10,0
Bad,Wale Featuring Tiara Thomas Or Rihanna,2013,256,Anger,31,39,31,12,28,26,20,27,18,17,0
"Gone, Gone, Gone",Phillip Phillips,2013,223,Joy,24,10,4,15,3,4,21,4,2,3,10
Demons,Imagine Dragons,2013,176,Fear,8,25,17,3,18,32,2,18,1,6,0
Counting Stars,OneRepublic,2013,284,Trust,71,19,22,48,13,26,37,16,26,51,7
I Cry,Flo Rida,2013,233,Love,24,13,6,12,0,4,15,6,6,8,15
Little Talks,Of Monsters And Men,2013,267,Trust,24,11,3,12,3,7,9,4,6,17,0
The Other Side,Jason Derulo,2013,226,Love,18,10,0,13,0,7,16,6,6,10,15
Berzerk,Eminem,2013,239,Anger,31,40,30,18,16,13,15,13,14,12,4
Catch My Breath,Kelly Clarkson,2013,251,Surprise,10,2,1,8,0,2,6,2,21,9,1
Crash My Party,Luke Bryan,2013,234,Sadness,14,19,9,9,5,13,10,15,11,1,10
Pour It Up,Rihanna,2013,162,Anticipation,30,12,25,33,1,9,26,9,24,26,0
22,Taylor Swift,2013,233,Love,15,12,6,10,6,5,12,7,2,8,8
I Want Crazy,Hunter Hayes,2013,237,Love,29,22,18,12,5,21,26,18,17,13,22
The Fox,Ylvis,2013,213,Trust,7,5,3,5,4,2,4,3,5,8,3
Best Song Ever,One Direction,2013,373,Joy,13,7,1,2,2,2,12,1,4,12,1
The A Team,Ed Sheeran,2013,258,Love,19,18,7,14,10,11,18,7,11,16,24
Carry On,fun.,2013,278,Anger,8,13,11,4,6,9,3,6,4,6,0
That's My Kind Of Night,Luke Bryan,2013,190,Love,40,17,11,16,3,2,33,3,12,23,23
Swimming Pools (Drank),Kendrick Lamar,2013,248,Anger,39,47,33,14,11,33,24,28,8,10,0
Sure Be Cool If You Did,Blake Shelton,2013,215,Joy,12,9,1,4,0,4,7,0,6,7,1
#Beautiful,Mariah Carey Featuring Miguel,2013,200,Joy,27,9,0,6,2,4,24,2,7,7,17
Troublemaker,Olly Murs Featuring Flo Rida,2013,186,Anger,20,23,20,8,10,19,8,13,7,15,0
Body Party,Ciara,2013,234,Joy,19,11,8,13,7,4,17,2,5,4,4
Adorn,Miguel,2013,195,Joy,42,3,0,17,0,0,39,2,5,10,22
Hall Of Fame,The Script Featuring will.i.am,2013,201,Anticipation,37,9,5,17,5,9,13,5,12,17,0
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,252,Joy,63,9,3,1,2,5,56,4,1,3,11
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013,262,Anger,6,19,10,3,9,9,3,5,2,5,0
Next To Me,Emeli Sande,2013,197,Sadness,10,9,4,3,3,3,4,5,4,3,0
Mama's Broken Heart,Miranda Lambert,2013,177,Fear,5,18,9,7,4,14,1,11,11,8,0
It Goes Like This,Thomas Rhett,2013,187,Anticipation,12,3,2,12,1,1,12,2,7,4,8
Bugatti,Ace Hood Featuring Future & Rick Ross,2013,270,Anger,20,24,18,10,11,12,9,12,10,12,0
Wanted,Hunter Hayes,2013,229,Joy,12,4,0,6,0,0,9,1,4,4,6
Downtown,Lady Antebellum,2013,195,Anticipation,15,9,5,15,2,0,6,4,5,10,0
Get Your Shine On,Florida Georgia Line,2013,221,Joy,47,4,2,6,2,0,16,2,4,1,10
Brave,Sara Bareilles,2013,221,Trust,14,12,4,4,1,5,4,9,2,13,0
Let Her Go,Passenger,2013,255,Joy,19,7,5,12,5,5,19,8,5,7,0
Runnin' Outta Moonlight,Randy Houser,2013,193,Joy,22,3,2,10,1,2,20,6,8,9,9
I'm Different,2 Chainz,2013,207,Anticipation,28,18,10,17,8,5,10,7,10,11,0
Still Into You,Paramore,2013,216,Anticipation,15,5,2,10,1,1,10,4,1,6,4
