title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Shadow Of The Day,Linkin Park,2008,289,Joy,14,1,0,12,4,0,13,4,12,13,0
Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",2008,242,Trust,42,20,37,43,5,23,39,15,27,51,1
Miss Independent,Ne-Yo,2008,232,Love,21,6,3,8,1,5,17,5,1,10,10
Fall For You,Secondhand Serenade,2008,185,Sadness,9,16,2,1,0,5,1,12,0,8,0
Say,John Mayer,2008,231,Anger,2,4,3,1,1,2,1,0,1,2,0
One Step At A Time,Jordin Sparks,2008,206,Anticipation,18,16,4,25,2,3,7,7,4,7,0
Hate That I Love You,Rihanna Featuring Ne-Yo,2008,219,Joy,26,24,18,4,18,14,22,16,6,3,3
Superstar,Lupe Fiasco Featuring Matthew Santos,2008,289,Anticipation,22,22,14,25,1,14,19,3,2,25,0
Suffocate,J. Holiday,2008,220,Joy,16,9,4,6,3,0,10,5,3,1,0
Realize,Colbie Caillat,2008,245,Anticipation,3,1,0,7,0,1,3,1,1,3,0
The Time Of My Life,David Cook,2008,214,Anticipation,4,4,1,26,1,1,3,2,3,2,0
Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",2008,251,Surprise,20,36,20,8,0,4,7,3,30,7,5
Cyclone,Baby Bash Featuring T-Pain,2008,237,Fear,8,36,6,8,4,31,7,4,28,11,0
Love Like This,Natasha Bedingfield Featuring Sean Kingston,2008,222,Joy,29,4,3,4,3,3,28,4,2,7,2
Burnin' Up,Jonas Brothers,2008,176,Joy,14,14,9,1,3,7,13,5,1,3,11
Love Lockdown,Kanye West,2008,271,Joy,31,17,11,8,12,15,29,13,12,4,1
I Luv Your Girl,The-Dream,2008,267,Anger,54,32,24,6,23,20,23,19,5,5,0
Crush,David Archuleta,2008,213,Sadness,9,8,5,4,0,5,4,8,4,6,0
Hypnotized,Plies Featuring Akon,2008,189,Fear,10,6,7,6,3,8,5,3,1,7,1
Big Girls Don't Cry,Fergie,2008,308,Trust,29,11,1,24,1,0,21,12,7,30,2
Good Life,Kanye West Featuring T-Pain,2008,207,Surprise,43,21,17,30,12,13,28,7,31,27,2
Womanizer,Britney Spears,2008,225,Disgust,17,26,9,4,15,8,14,10,3,5,9
Love Story,Taylor Swift,2008,236,Joy,28,14,1,12,1,5,18,6,6,6,4
Just Fine,Mary J. Blige,2008,243,Anticipation,14,12,5,20,2,15,14,10,8,10,0
Piece Of Me,Britney Spears,2008,213,Fear,17,10,5,5,5,11,4,1,3,5,0
The Boss,Rick Ross Featuring T-Pain,2008,226,Fear,16,14,8,4,7,11,9,6,1,7,4
All Summer Long,Kid Rock,2008,297,Anticipation,10,6,2,11,2,1,7,2,6,6,2
Can't Help But Wait,Trey Songz,2008,206,Anticipation,13,23,4,26,3,8,11,3,5,6,4
In Love With A Girl,Gavin DeGraw,2008,206,Joy,32,16,11,12,4,12,29,10,8,8,3
My Life,The Game Featuring Lil Wayne,2008,320,Fear,35,44,23,14,24,27,12,19,6,22,1
I Remember,Keyshia Cole,2008,261,Joy,13,14,10,3,9,10,12,11,5,3,0
Flashing Lights,Kanye West Featuring Dwele,2008,238,Trust,10,6,6,3,4,4,7,2,1,8,1
Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,2008,287,Trust,34,10,4,14,1,14,14,7,9,29,7
7 Things,Miley Cyrus,2008,216,Sadness,15,15,13,5,7,12,12,14,8,4,1
You're Gonna Miss This,Trace Adkins,2008,224,Anticipation,15,6,4,15,1,1,13,3,9,11,4
Love Remains The Same,Gavin Rossdale,2008,252,Fear,12,16,3,9,3,10,5,8,6,4,0
Feels Like Tonight,Daughtry,2008,239,Surprise,0,3,0,2,0,1,0,1,4,1,0
The Way I Are,Timbaland Featuring Keri Hilson,2008,180,Joy,18,10,1,3,2,0,13,6,1,2,8
Addicted,Saving Abel,2008,223,Joy,7,1,1,1,1,1,7,1,0,0,0
Into The Night,Santana Featuring Chad Kroeger,2008,223,Love,98,8,5,26,5,7,34,19,8,30,34
Heaven Sent,Keyshia Cole,2008,233,Joy,11,3,1,5,0,3,11,0,3,4,0
She Got It,2 Pistols Featuring T-Pain & Tay Dizm,2008,274,Love,21,12,5,10,4,4,11,6,6,7,11
