title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Bleeding Love,Leona Lewis,2008,263,Joy,26,12,3,6,1,10,18,10,1,8,0
No One,Alicia Keys,2008,247,Anticipation,3,3,1,3,0,3,0,3,0,1,0
Lollipop,Lil Wayne Featuring Static Major,2008,302,Disgust,25,54,16,12,40,9,22,10,13,13,3
Apologize,Timbaland Featuring OneRepublic,2008,185,Sadness,10,18,1,2,0,3,2,24,2,9,1
No Air,Jordin Sparks Duet With Chris Brown,2008,265,Surprise,7,3,1,3,1,2,3,3,4,4,1
Love Song,Sara Bareilles,2008,259,Joy,23,4,1,3,0,1,15,4,7,5,1
With You,Chris Brown,2008,253,Joy,25,16,5,11,1,1,23,7,7,8,11
Forever,Chris Brown,2008,279,Love,25,11,2,10,1,4,22,7,3,16,20
Sexy Can I,Ray J & Yung Berg,2008,204,Joy,25,18,6,5,6,2,11,1,2,2,5
Take A Bow,Rihanna,2008,231,Trust,17,9,3,8,5,0,12,4,8,14,2
Viva La Vida,Coldplay,2008,242,Trust,30,10,7,8,5,12,12,9,4,23,0
I Kissed A Girl,Katy Perry,2008,179,Joy,25,6,1,18,0,1,19,0,17,9,9
Whatever You Like,T.I.,2008,249,Love,25,13,1,12,4,0,16,7,9,9,21
Disturbia,Rihanna,2008,239,Sadness,7,107,17,6,89,22,2,94,2,2,0
Don't Stop The Music,Rihanna,2008,268,Joy,66,18,1,11,0,7,58,55,1,5,3
Pocketful Of Sunshine,Natasha Bedingfield,2008,202,Trust,30,13,4,18,1,19,19,3,14,22,8
Closer,Ne-Yo,2008,236,Anticipation,11,4,1,4,1,4,2,2,4,2,0
Bubbly,Colbie Caillat,2008,179,Anticipation,11,2,1,14,5,1,11,1,7,9,3
Touch My Body,Mariah Carey,2008,207,Trust,14,8,6,6,4,3,8,3,7,10,3
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,246,Anticipation,13,22,5,22,5,6,7,3,2,12,0
So What,P!nk,2008,216,Anticipation,29,13,10,17,3,8,12,3,7,14,0
Paralyzer,Finger Eleven,2008,208,Anger,2,4,4,1,0,0,1,2,0,0,0
Clumsy,Fergie,2008,241,Joy,37,15,2,6,12,3,36,2,1,2,5
I'm Yours,Jason Mraz,2008,221,Joy,22,14,5,12,3,1,15,5,2,4,1
Leavin',Jesse McCartney,2008,217,Sadness,12,18,3,9,3,1,7,13,13,7,1
Tattoo,Jordin Sparks,2008,232,Fear,8,17,1,9,5,11,5,10,6,1,0
See You Again,Miley Cyrus,2008,191,Anticipation,8,14,4,16,0,1,4,1,0,3,0
Shake It,Metro Station,2008,179,Sadness,4,5,0,1,0,2,3,4,2,1,0
Stop And Stare,OneRepublic,2008,224,Anticipation,11,8,3,7,5,5,3,6,3,5,0
Take You There,Sean Kingston,2008,237,Fear,8,20,7,6,12,13,8,8,4,3,5
Paper Planes,M.I.A.,2008,205,Anger,19,70,78,20,56,58,14,58,70,16,0
Hot N Cold,Katy Perry,2008,221,Anger,16,26,15,9,1,11,12,6,11,6,4
Live Your Life,T.I. Featuring Rihanna,2008,338,Fear,11,20,7,10,1,11,7,3,3,10,1
Bust It Baby Part 2,Plies Featuring Ne-Yo,2008,240,Love,32,14,8,10,7,12,23,5,10,14,17
American Boy,Estelle Featuring Kanye West,2008,285,Disgust,28,32,13,6,22,7,18,5,10,6,1
Got Money,Lil Wayne Featuring T-Pain,2008,245,Love,39,23,25,26,8,17,32,17,25,19,22
Our Song,Taylor Swift,2008,202,Love,25,16,5,8,1,7,14,8,11,10,14
Damaged,Danity Kane,2008,239,Anger,22,58,52,8,49,8,13,51,3,6,8
A Milli,Lil Wayne,2008,221,Disgust,18,43,29,13,33,27,11,26,10,11,0
Sorry,Buckcherry,2008,228,Joy,14,12,5,5,6,6,14,14,3,0,8
Like You'll Never See Me Again,Alicia Keys,2008,316,Anticipation,30,6,1,32,3,1,26,2,13,13,8
Teardrops On My Guitar,Taylor Swift,2008,204,Love,20,3,0,7,1,0,15,4,6,9,11
When I Grow Up,The Pussycat Dolls,2008,246,Love,49,9,3,26,4,3,30,4,3,28,28
Sensual Seduction,Snoop Dogg,2008,246,Anticipation,28,44,4,26,1,2,22,1,22,24,1
It's Not My Time,3 Doors Down,2008,243,Anticipation,5,4,3,8,0,3,3,0,0,5,0
Better In Time,Leona Lewis,2008,235,Love,23,7,10,15,1,5,16,5,5,14,14
Crank That (Soulja Boy),Soulja Boy Tell'em,2008,224,Fear,11,82,5,46,42,49,9,6,4,9,0
