title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Turn My Swag On,Soulja Boy Tell'em,2009,206,Trust,12,10,8,9,8,1,7,1,7,10,0
Rockin' That Thang,The-Dream,2009,222,Joy,20,11,2,0,2,1,11,8,6,3,5
Chicken Fried,Zac Brown Band,2009,239,Joy,44,14,0,18,0,7,36,6,5,12,1
Diva,Beyonce,2009,201,Anger,23,7,10,10,4,1,8,1,8,10,0
Replay,Iyaz,2009,183,Trust,37,4,3,6,1,6,8,4,2,10,2
Then,Brad Paisley,2009,257,Joy,12,0,0,1,0,1,10,0,2,0,2
Her Diamonds,Rob Thomas,2009,237,Joy,21,15,3,2,3,3,21,14,2,0,0
How Do You Sleep?,Jesse McCartney Featuring Ludacris,2009,209,Sadness,17,25,13,1,12,13,16,18,6,1,6
3,Britney Spears,2009,214,Joy,21,3,2,3,2,3,10,2,7,4,1
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2009,357,Anger,32,41,31,20,30,15,11,10,11,20,1
One Time,Justin Bieber,2009,216,Anticipation,35,10,9,34,2,9,25,4,0,2,0
I Run To You,Lady Antebellum,2009,257,Joy,9,11,6,4,5,4,7,6,3,2,6
I Do Not Hook Up,Kelly Clarkson,2009,201,Love,7,17,5,5,3,5,6,6,4,3,6
Green Light,John Legend Featuring Andre 3000,2009,284,Anticipation,27,10,0,37,1,3,22,2,3,16,4
People Are Crazy,Billy Currington,2009,232,Fear,25,23,15,16,8,22,21,15,14,15,0
Whatever It Is,Zac Brown Band,2009,209,Love,16,0,0,7,0,1,11,0,2,8,9
Already Gone,Kelly Clarkson,2009,208,Joy,10,8,2,5,1,5,10,4,1,3,1
Goodbye,Kristinia DeBarge,2009,208,Fear,6,5,1,5,1,8,5,8,1,6,2
Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,2009,235,Joy,60,5,2,4,4,4,53,4,6,10,4
Pretty Wings,Maxwell,2009,311,Love,43,8,2,37,4,3,41,6,4,38,39
Never Say Never,The Fray,2009,245,Anticipation,10,1,0,7,0,0,3,1,2,5,0
