title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Leave The Night On,Sam Hunt,2014,192,Surprise,14,9,1,8,0,1,10,10,14,4,6
Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014,247,Joy,46,4,0,11,0,4,46,4,7,14,20
Drunk On A Plane,Dierks Bentley,2014,254,Fear,17,8,2,5,0,7,3,7,2,7,2
Birthday,Katy Perry,2014,216,Anticipation,33,7,1,32,5,1,32,1,30,18,4
Bartender,Lady Antebellum,2014,209,Trust,15,19,10,6,3,8,6,7,6,14,1
La La La,Naughty Boy Featuring Sam Smith,2014,223,Trust,9,6,4,2,5,7,1,4,2,10,0
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014,231,Anger,26,36,24,14,13,18,18,15,15,14,5
Do What U Want,Lady Gaga Featuring R. Kelly,2014,216,Anger,6,11,7,3,4,6,3,5,4,4,0
Can't Remember To Forget You,Shakira Featuring Rihanna,2014,206,Sadness,7,25,2,6,6,4,6,8,7,2,4
Amnesia,5 Seconds Of Summer,2014,238,Sadness,10,29,6,8,4,7,4,15,8,6,1
No Mediocre,T.I. Featuring Iggy Azalea,2014,202,Anger,17,100,50,9,45,42,10,41,2,10,2
Come With Me Now,KONGOS,2014,212,Fear,2,21,14,5,12,16,1,8,9,6,0
Believe Me,Lil Wayne Featuring Drake,2014,337,Love,41,34,21,9,17,18,25,12,10,15,17
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014,253,Anger,13,23,14,3,5,11,5,9,0,5,0
Beachin',Jake Owen,2014,191,Love,19,7,2,15,2,2,16,5,4,11,14
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,2014,220,Anger,22,27,15,14,10,10,8,13,7,12,0
She Looks So Perfect,5 Seconds Of Summer,2014,203,Anticipation,11,6,4,11,5,2,10,5,4,5,1
Stay The Night,Zedd Featuring Hayley Williams,2014,218,Sadness,3,6,0,3,0,3,2,4,4,0,0
Partition,Beyonce,2014,320,Joy,22,23,14,12,6,5,29,17,12,5,13
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014,279,Love,16,13,10,1,3,3,11,3,4,7,18
0 To 100 / The Catch Up,Drake,2014,275,Disgust,41,54,31,16,35,11,8,12,17,35,0
I Don't Dance,Lee Brice,2014,221,Love,10,1,0,0,0,0,10,1,1,9,9
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,2014,169,Anticipation,32,18,20,33,14,18,21,15,15,28,0
Adore You,Miley Cyrus,2014,278,Joy,22,5,2,9,5,3,20,2,0,8,10
