title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015,190,Trust,23,7,2,4,2,2,7,0,7,20,1
What Do You Mean?,Justin Bieber,2015,206,Anticipation,7,8,3,7,0,0,6,4,4,1,3
Photograph,Ed Sheeran,2015,258,Joy,14,11,4,10,0,5,11,5,3,5,3
Hello,Adele,2015,296,Anticipation,5,2,0,7,0,0,3,1,4,4,0
Stitches,Shawn Mendes,2015,207,Anticipation,21,18,2,15,0,5,12,14,13,5,8
Talking Body,Tove Lo,2015,239,Love,35,3,2,16,0,2,20,0,2,14,16
Jealous,Nick Jonas,2015,224,Anger,14,26,22,3,16,7,13,11,3,2,6
Time Of Our Lives,Pitbull & Ne-Yo,2015,229,Anticipation,27,16,8,34,4,4,20,6,8,14,5
Locked Away,R. City Featuring Adam Levine,2015,228,Sadness,22,22,10,2,9,9,21,22,6,9,6
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015,189,Trust,13,9,5,6,2,2,5,3,3,10,0
Centuries,Fall Out Boy,2015,228,Sadness,9,16,5,5,2,6,4,7,3,3,0
My Way,Fetty Wap Featuring Monty,2015,214,Anger,20,27,22,9,17,16,13,13,3,9,11
Take Your Time,Sam Hunt,2015,243,Love,14,15,9,11,5,11,12,9,2,9,10
Animals,Maroon 5,2015,232,Anger,20,40,31,7,22,14,13,18,0,5,7
I Don't F**k With You,Big Sean Featuring E-40,2015,285,Anger,23,54,33,9,30,28,9,28,12,15,0
B**** Better Have My Money,Rihanna,2015,220,Anger,29,49,61,30,34,39,26,31,20,29,0
Flex (Ooh Ooh Ooh),Rich Homie Quan,2015,176,Disgust,16,22,9,11,17,11,9,12,1,11,4
Nasty Freestyle,T-Wayne,2015,143,Anger,15,28,14,12,9,12,6,8,4,8,0
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015,312,Anger,43,42,25,13,17,20,12,24,11,20,1
Elastic Heart,Sia,2015,258,Fear,9,17,6,2,3,8,4,7,3,4,0
Cool For The Summer,Demi Lovato,2015,215,Sadness,19,13,4,7,4,6,6,9,2,4,2
Renegades,X Ambassadors,2015,196,Anger,6,20,15,4,1,4,0,1,3,4,0
I Don't Mind,Usher Featuring Juicy J,2015,252,Love,73,13,51,58,3,3,63,10,56,59,62
Love Me Harder,Ariana Grande & The Weeknd,2015,237,Joy,42,12,1,1,0,4,40,8,5,1,4
Wildest Dreams,Taylor Swift,2015,221,Anticipation,20,9,4,14,4,4,10,6,4,6,5
Stay With Me,Sam Smith,2015,173,Love,12,2,1,4,0,1,12,2,4,6,10
You Know You Like It,DJ Snake & AlunaGeorge,2015,247,Fear,5,26,22,3,10,23,4,7,0,3,1
Uma Thurman,Fall Out Boy,2015,211,Trust,32,12,9,26,9,10,22,11,17,27,1
7/11,Beyonce,2015,214,Joy,38,27,13,9,15,11,37,9,9,7,9
The Heart Wants What It Wants,Selena Gomez,2015,227,Love,19,11,4,10,2,8,14,3,3,13,17
Girl Crush,Little Big Town,2015,193,Fear,5,6,3,3,4,5,3,5,2,4,0
Slow Motion,Trey Songz,2015,198,Anticipation,16,3,1,20,0,0,12,0,1,5,9
Drag Me Down,One Direction,2015,192,Joy,15,11,4,2,2,6,13,8,8,4,4
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015,220,Trust,24,14,9,13,6,10,19,7,6,24,2
One Last Time,Ariana Grande,2015,198,Anticipation,16,8,6,12,7,6,8,4,0,9,3
Chains,Nick Jonas,2015,204,Joy,17,7,0,0,2,14,17,0,11,0,5
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015,223,Joy,26,19,18,6,9,13,20,14,5,8,9
No Type,Rae Sremmurd,2015,200,Anger,7,16,20,8,14,12,3,10,4,6,0
Riptide,Vance Joy,2015,204,Sadness,27,21,2,14,2,3,19,24,7,20,0
Classic Man,Jidenna Featuring Roman GianArthur,2015,226,Love,52,12,5,9,7,6,23,3,5,17,26
Ex's & Oh's,Elle King,2015,203,Fear,6,11,1,3,2,6,5,5,5,3,2
Dear Future Husband,Meghan Trainor,2015,185,Love,29,17,12,13,6,9,18,14,7,10,17
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015,191,Love,25,4,2,10,2,2,16,1,10,14,17
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2015,226,Joy,25,15,14,10,14,15,21,15,17,6,2
Habits (Stay High),Tove Lo,2015,209,Anticipation,12,22,2,17,2,7,9,7,2,4,4
CoCo,O.T. Genasis,2015,239,Joy,21,6,8,2,0,1,21,0,2,2,0
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015,200,Anger,11,60,45,22,43,45,6,45,45,8,0
Lay Me Down,Sam Smith,2015,219,Sadness,3,7,3,1,0,2,1,6,0,3,0
Tuesday,I LOVE MAKONNEN Featuring Drake,2015,321,Anger,3,9,8,3,5,2,2,2,1,5,0
Hit The Quan,iLoveMemphis,2015,181,Anger,13,48,43,5,3,14,6,8,5,10,0
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015,323,Trust,23,31,18,12,18,15,14,6,13,21,3
House Party,Sam Hunt,2015,190,Trust,9,5,3,12,3,7,6,6,9,13,2
Ayo,Chris Brown & Tyga,2015,361,Disgust,31,41,23,17,25,21,14,24,16,17,2
Kick The Dust Up,Luke Bryan,2015,193,Anger,9,19,11,9,0,3,8,1,2,5,4
Blessings,Big Sean Featuring Drake,2015,302,Anticipation,59,27,17,67,14,17,37,18,16,51,0
Budapest,George Ezra,2015,200,Love,23,11,4,7,3,11,16,10,15,10,19
Chandelier,Sia,2015,217,Anticipation,15,6,3,5,5,5,4,5,4,4,0
Heartbeat Song,Kelly Clarkson,2015,199,Anticipation,6,9,2,33,1,3,5,2,1,3,2
Don't,Ed Sheeran,2015,219,Love,38,17,5,25,3,8,36,14,4,18,30
Ghost,Ella Henderson,2015,214,Fear,18,25,14,11,11,52,13,20,8,10,2
Here,Alessia Cara,2015,199,Love,11,14,4,9,4,3,10,4,6,7,7
Waves,Mr. Probz,2015,231,Fear,8,2,0,1,0,2,2,2,0,1,0
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015,205,Joy,12,11,6,4,1,10,12,11,2,4,7
She Knows,Ne-Yo Featuring Juicy J,2015,215,Anticipation,13,9,5,8,4,8,6,4,2,3,1
Night Changes,One Direction,2015,226,Fear,10,17,4,3,1,25,9,13,2,6,5
Back To Back,Drake,2015,171,Anger,13,17,13,1,12,7,3,6,4,8,0
How Deep Is Your Love,Calvin Harris & Disciples,2015,212,Joy,36,4,4,0,1,2,33,1,0,1,0
