title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Thinking Out Loud,Ed Sheeran,2015,297,Joy,33,8,2,10,0,2,31,5,8,9,12
See You Again,Wiz Khalifa Featuring Charlie Puth,2015,229,Love,17,7,6,10,3,3,11,3,5,10,10
Trap Queen,Fetty Wap,2015,245,Love,37,26,18,17,7,6,31,7,16,18,32
Sugar,Maroon 5,2015,236,Joy,43,9,3,5,1,5,22,11,8,9,4
Shut Up And Dance,WALK THE MOON,2015,200,Trust,11,4,6,8,0,7,11,2,2,16,0
Blank Space,Taylor Swift,2015,273,Love,39,46,26,28,14,31,32,23,14,19,25
Watch Me,Silento,2015,186,Fear,4,37,18,77,12,83,4,6,20,4,0
Earned It (Fifty Shades Of Grey),The Weeknd,2015,252,Anticipation,42,9,12,19,5,6,16,6,5,19,0
The Hills,The Weeknd,2015,243,Trust,25,4,3,10,3,5,12,4,0,17,3
Cheerleader,OMI,2015,190,Joy,17,6,2,4,2,0,12,2,5,5,4
Can't Feel My Face,The Weeknd,2015,219,Joy,21,11,3,8,3,9,21,9,2,0,1
Love Me Like You Do,Ellie Goulding,2015,250,Joy,21,11,1,7,0,4,20,2,0,0,0
Take Me To Church,Hozier,2015,244,Anticipation,55,27,30,44,23,31,39,24,13,40,0
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,201,Fear,32,39,30,9,23,36,26,30,4,8,14
Lean On,Major Lazer & DJ Snake Featuring MO,2015,176,Fear,16,12,12,16,0,24,13,0,13,1,12
Want To Want Me,Jason Derulo,2015,208,Joy,4,3,1,1,1,1,2,2,2,2,1
Shake It Off,Taylor Swift,2015,220,Disgust,12,39,17,2,20,17,12,19,17,3,7
Where Are U Now,Skrillex & Diplo With Justin Bieber,2015,250,Trust,4,5,1,1,1,1,2,3,3,4,0
Fight Song,Rachel Platten,2015,206,Fear,5,27,16,8,5,20,1,9,12,2,0
679,Fetty Wap Featuring Remy Boyz,2015,188,Love,27,16,10,11,8,8,13,4,8,9,15
Lips Are Movin,Meghan Trainor,2015,183,Joy,32,29,18,20,15,0,25,16,8,4,16
Worth It,Fifth Harmony Featuring Kid Ink,2015,225,Love,51,9,0,7,3,0,14,4,4,9,17
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015,226,Surprise,18,18,14,14,6,9,14,9,17,17,0
"Honey, I'm Good.",Andy Grammer,2015,200,Love,33,10,3,18,3,2,24,10,14,16,33
I'm Not The Only One,Sam Smith,2015,240,Sadness,7,12,8,1,2,8,6,9,0,4,4
Good For You,Selena Gomez Featuring A$AP Rocky,2015,221,Trust,39,28,10,33,12,7,34,10,31,45,1
All About That Bass,Meghan Trainor,2015,188,Anger,12,34,40,7,6,3,8,6,0,6,2
Style,Taylor Swift,2015,231,Anticipation,14,8,0,18,0,6,6,6,9,6,0
Hotline Bling,Drake,2015,296,Sadness,11,19,1,2,2,1,11,15,8,4,0
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015,193,Trust,19,11,6,6,10,7,10,7,7,12,6
